center_x,center_y,label,orientation,avg_height,orig_index
21479,1495,platform_large,90.0,114.24625396728516,559
21181,1493,platform_large,90.0,118.38934326171875,560
21197,1491,palace,90.0,118.35822296142578,561
21306,1477,platform_large,90.0,117.84516143798828,563
21232,1469,double_house,2.4895529747009277,118.7520523071289,564
21103,1478,palace_large,9.462322235107422,120.47086334228516,565
21133,1446,ruin_small,90.0,118.63045501708984,566
21368,1450,house,10.304845809936523,116.2522201538086,567
21246,1444,double_house,5.5275397300720215,118.51924133300781,568
21178,1438,house,90.0,118.91029357910156,569
21206,1440,double_house,2.7263107299804688,118.6642837524414,570
21151,1433,unknown_elongated_building,90.0,120.31836700439453,571
21091,1433,cluster_houses,8.880660057067871,119.20194244384766,572
21057,1425,platform_large,90.0,118.54998779296875,573
21454,1431,cluster_houses,63.43495178222656,115.89337158203125,574
21341,1416,platform_large,90.0,116.41637420654297,575
21356,1405,house,90.0,116.09992980957031,576
21419,1431,cluster_houses,10.784297943115234,115.63922882080078,577
21104,1401,cluster_houses,90.0,118.74362182617188,578
21338,1395,platform_large,71.56504821777344,116.52513885498047,579
21200,1378,ruin_small,90.0,118.09022521972656,580
